"date","day","time","name","cap"
"2021-09-22","Wednesday","21:00","ConeDeckFaculty/Staff",0
"2021-09-22","Wednesday","21:00","ConeDeckVisitor",6
"2021-09-22","Wednesday","21:00","CRIDeck",4
"2021-09-22","Wednesday","21:00","EastDeck1",8
"2021-09-22","Wednesday","21:00","EastDeck2/3",4
"2021-09-22","Wednesday","21:00","NorthDeck",26
"2021-09-22","Wednesday","21:00","SouthVillageDeck",51
"2021-09-22","Wednesday","21:00","UnionDeckLower",19
"2021-09-22","Wednesday","21:00","UnionDeckUpper",0
"2021-09-22","Wednesday","21:00","WestDeck",10
"2021-09-22","Wednesday","21:30","ConeDeckFaculty/Staff",0
"2021-09-22","Wednesday","21:30","ConeDeckVisitor",5
"2021-09-22","Wednesday","21:30","CRIDeck",4
"2021-09-22","Wednesday","21:30","EastDeck1",7
"2021-09-22","Wednesday","21:30","EastDeck2/3",2
"2021-09-22","Wednesday","21:30","NorthDeck",26
"2021-09-22","Wednesday","21:30","SouthVillageDeck",52
"2021-09-22","Wednesday","21:30","UnionDeckLower",17
"2021-09-22","Wednesday","21:30","UnionDeckUpper",0
"2021-09-22","Wednesday","21:30","WestDeck",7
"2021-09-22","Wednesday","22:00","ConeDeckFaculty/Staff",0
"2021-09-22","Wednesday","22:00","ConeDeckVisitor",5
"2021-09-22","Wednesday","22:00","CRIDeck",4
"2021-09-22","Wednesday","22:00","EastDeck1",6
"2021-09-22","Wednesday","22:00","EastDeck2/3",2
"2021-09-22","Wednesday","22:00","NorthDeck",26
"2021-09-22","Wednesday","22:00","SouthVillageDeck",52
"2021-09-22","Wednesday","22:00","UnionDeckLower",14
"2021-09-22","Wednesday","22:00","UnionDeckUpper",0
"2021-09-22","Wednesday","22:00","WestDeck",6
"2021-09-22","Wednesday","22:30","ConeDeckFaculty/Staff",0
"2021-09-22","Wednesday","22:30","ConeDeckVisitor",4
"2021-09-22","Wednesday","22:30","CRIDeck",3
"2021-09-22","Wednesday","22:30","EastDeck1",6
"2021-09-22","Wednesday","22:30","EastDeck2/3",1
"2021-09-22","Wednesday","22:30","NorthDeck",26
"2021-09-22","Wednesday","22:30","SouthVillageDeck",52
"2021-09-22","Wednesday","22:30","UnionDeckLower",10
"2021-09-22","Wednesday","22:30","UnionDeckUpper",0
"2021-09-22","Wednesday","22:30","WestDeck",5
"2021-09-22","Wednesday","23:00","ConeDeckFaculty/Staff",0
"2021-09-22","Wednesday","23:00","ConeDeckVisitor",4
"2021-09-22","Wednesday","23:00","CRIDeck",3
"2021-09-22","Wednesday","23:00","EastDeck1",6
"2021-09-22","Wednesday","23:00","EastDeck2/3",1
"2021-09-22","Wednesday","23:00","NorthDeck",27
"2021-09-22","Wednesday","23:00","SouthVillageDeck",54
"2021-09-22","Wednesday","23:00","UnionDeckLower",6
"2021-09-22","Wednesday","23:00","UnionDeckUpper",0
"2021-09-22","Wednesday","23:00","WestDeck",4
"2021-09-22","Wednesday","23:30","ConeDeckFaculty/Staff",0
"2021-09-22","Wednesday","23:30","ConeDeckVisitor",4
"2021-09-22","Wednesday","23:30","CRIDeck",3
"2021-09-22","Wednesday","23:30","EastDeck1",6
"2021-09-22","Wednesday","23:30","EastDeck2/3",1
"2021-09-22","Wednesday","23:30","NorthDeck",27
"2021-09-22","Wednesday","23:30","SouthVillageDeck",54
"2021-09-22","Wednesday","23:30","UnionDeckLower",4
"2021-09-22","Wednesday","23:30","UnionDeckUpper",0
"2021-09-22","Wednesday","23:30","WestDeck",3
"2021-09-23","Thursday","00:00","ConeDeckFaculty/Staff",0
"2021-09-23","Thursday","00:00","ConeDeckVisitor",4
"2021-09-23","Thursday","00:00","CRIDeck",3
"2021-09-23","Thursday","00:00","EastDeck1",6
"2021-09-23","Thursday","00:00","EastDeck2/3",1
"2021-09-23","Thursday","00:00","NorthDeck",27
"2021-09-23","Thursday","00:00","SouthVillageDeck",54
"2021-09-23","Thursday","00:00","UnionDeckLower",3
"2021-09-23","Thursday","00:00","UnionDeckUpper",0
"2021-09-23","Thursday","00:00","WestDeck",3
"2021-09-23","Thursday","00:30","ConeDeckFaculty/Staff",0
"2021-09-23","Thursday","00:30","ConeDeckVisitor",4
"2021-09-23","Thursday","00:30","CRIDeck",3
"2021-09-23","Thursday","00:30","EastDeck1",6
"2021-09-23","Thursday","00:30","EastDeck2/3",0
"2021-09-23","Thursday","00:30","NorthDeck",27
"2021-09-23","Thursday","00:30","SouthVillageDeck",54
"2021-09-23","Thursday","00:30","UnionDeckLower",3
"2021-09-23","Thursday","00:30","UnionDeckUpper",0
"2021-09-23","Thursday","00:30","WestDeck",3
"2021-09-23","Thursday","01:00","ConeDeckFaculty/Staff",0
"2021-09-23","Thursday","01:00","ConeDeckVisitor",4
"2021-09-23","Thursday","01:00","CRIDeck",3
"2021-09-23","Thursday","01:00","EastDeck1",6
"2021-09-23","Thursday","01:00","EastDeck2/3",0
"2021-09-23","Thursday","01:00","NorthDeck",27
"2021-09-23","Thursday","01:00","SouthVillageDeck",54
"2021-09-23","Thursday","01:00","UnionDeckLower",3
"2021-09-23","Thursday","01:00","UnionDeckUpper",0
"2021-09-23","Thursday","01:00","WestDeck",2
"2021-09-23","Thursday","01:30","ConeDeckFaculty/Staff",0
"2021-09-23","Thursday","01:30","ConeDeckVisitor",4
"2021-09-23","Thursday","01:30","CRIDeck",3
"2021-09-23","Thursday","01:30","EastDeck1",6
"2021-09-23","Thursday","01:30","EastDeck2/3",0
"2021-09-23","Thursday","01:30","NorthDeck",28
"2021-09-23","Thursday","01:30","SouthVillageDeck",54
"2021-09-23","Thursday","01:30","UnionDeckLower",2
"2021-09-23","Thursday","01:30","UnionDeckUpper",0
"2021-09-23","Thursday","01:30","WestDeck",3
"2021-09-23","Thursday","02:00","ConeDeckFaculty/Staff",0
"2021-09-23","Thursday","02:00","ConeDeckVisitor",4
"2021-09-23","Thursday","02:00","CRIDeck",3
"2021-09-23","Thursday","02:00","EastDeck1",6
"2021-09-23","Thursday","02:00","EastDeck2/3",0
"2021-09-23","Thursday","02:00","NorthDeck",28
"2021-09-23","Thursday","02:00","SouthVillageDeck",54
"2021-09-23","Thursday","02:00","UnionDeckLower",2
"2021-09-23","Thursday","02:00","UnionDeckUpper",0
"2021-09-23","Thursday","02:00","WestDeck",2
"2021-09-23","Thursday","02:30","ConeDeckFaculty/Staff",0
"2021-09-23","Thursday","02:30","ConeDeckVisitor",4
"2021-09-23","Thursday","02:30","CRIDeck",3
"2021-09-23","Thursday","02:30","EastDeck1",6
"2021-09-23","Thursday","02:30","EastDeck2/3",0
"2021-09-23","Thursday","02:30","NorthDeck",28
"2021-09-23","Thursday","02:30","SouthVillageDeck",54
"2021-09-23","Thursday","02:30","UnionDeckLower",2
"2021-09-23","Thursday","02:30","UnionDeckUpper",0
"2021-09-23","Thursday","02:30","WestDeck",2
"2021-09-23","Thursday","03:00","ConeDeckFaculty/Staff",0
"2021-09-23","Thursday","03:00","ConeDeckVisitor",4
"2021-09-23","Thursday","03:00","CRIDeck",3
"2021-09-23","Thursday","03:00","EastDeck1",6
"2021-09-23","Thursday","03:00","EastDeck2/3",0
"2021-09-23","Thursday","03:00","NorthDeck",28
"2021-09-23","Thursday","03:00","SouthVillageDeck",54
"2021-09-23","Thursday","03:00","UnionDeckLower",3
"2021-09-23","Thursday","03:00","UnionDeckUpper",0
"2021-09-23","Thursday","03:00","WestDeck",2
"2021-09-23","Thursday","03:30","ConeDeckFaculty/Staff",0
"2021-09-23","Thursday","03:30","ConeDeckVisitor",4
"2021-09-23","Thursday","03:30","CRIDeck",3
"2021-09-23","Thursday","03:30","EastDeck1",6
"2021-09-23","Thursday","03:30","EastDeck2/3",0
"2021-09-23","Thursday","03:30","NorthDeck",28
"2021-09-23","Thursday","03:30","SouthVillageDeck",54
"2021-09-23","Thursday","03:30","UnionDeckLower",3
"2021-09-23","Thursday","03:30","UnionDeckUpper",0
"2021-09-23","Thursday","03:30","WestDeck",2
"2021-09-23","Thursday","04:00","ConeDeckFaculty/Staff",0
"2021-09-23","Thursday","04:00","ConeDeckVisitor",4
"2021-09-23","Thursday","04:00","CRIDeck",3
"2021-09-23","Thursday","04:00","EastDeck1",6
"2021-09-23","Thursday","04:00","EastDeck2/3",1
"2021-09-23","Thursday","04:00","NorthDeck",28
"2021-09-23","Thursday","04:00","SouthVillageDeck",55
"2021-09-23","Thursday","04:00","UnionDeckLower",3
"2021-09-23","Thursday","04:00","UnionDeckUpper",0
"2021-09-23","Thursday","04:00","WestDeck",2
"2021-09-23","Thursday","04:30","ConeDeckFaculty/Staff",0
"2021-09-23","Thursday","04:30","ConeDeckVisitor",4
"2021-09-23","Thursday","04:30","CRIDeck",3
"2021-09-23","Thursday","04:30","EastDeck1",6
"2021-09-23","Thursday","04:30","EastDeck2/3",1
"2021-09-23","Thursday","04:30","NorthDeck",28
"2021-09-23","Thursday","04:30","SouthVillageDeck",55
"2021-09-23","Thursday","04:30","UnionDeckLower",3
"2021-09-23","Thursday","04:30","UnionDeckUpper",0
"2021-09-23","Thursday","04:30","WestDeck",3
"2021-09-23","Thursday","05:00","ConeDeckFaculty/Staff",0
"2021-09-23","Thursday","05:00","ConeDeckVisitor",4
"2021-09-23","Thursday","05:00","CRIDeck",3
"2021-09-23","Thursday","05:00","EastDeck1",6
"2021-09-23","Thursday","05:00","EastDeck2/3",1
"2021-09-23","Thursday","05:00","NorthDeck",28
"2021-09-23","Thursday","05:00","SouthVillageDeck",55
"2021-09-23","Thursday","05:00","UnionDeckLower",3
"2021-09-23","Thursday","05:00","UnionDeckUpper",0
"2021-09-23","Thursday","05:00","WestDeck",3
"2021-09-23","Thursday","05:30","ConeDeckFaculty/Staff",0
"2021-09-23","Thursday","05:30","ConeDeckVisitor",4
"2021-09-23","Thursday","05:30","CRIDeck",3
"2021-09-23","Thursday","05:30","EastDeck1",6
"2021-09-23","Thursday","05:30","EastDeck2/3",1
"2021-09-23","Thursday","05:30","NorthDeck",29
"2021-09-23","Thursday","05:30","SouthVillageDeck",55
"2021-09-23","Thursday","05:30","UnionDeckLower",3
"2021-09-23","Thursday","05:30","UnionDeckUpper",0
"2021-09-23","Thursday","05:30","WestDeck",3
"2021-09-23","Thursday","06:00","ConeDeckFaculty/Staff",0
"2021-09-23","Thursday","06:00","ConeDeckVisitor",4
"2021-09-23","Thursday","06:00","CRIDeck",3
"2021-09-23","Thursday","06:00","EastDeck1",6
"2021-09-23","Thursday","06:00","EastDeck2/3",1
"2021-09-23","Thursday","06:00","NorthDeck",29
"2021-09-23","Thursday","06:00","SouthVillageDeck",55
"2021-09-23","Thursday","06:00","UnionDeckLower",4
"2021-09-23","Thursday","06:00","UnionDeckUpper",0
"2021-09-23","Thursday","06:00","WestDeck",3
"2021-09-23","Thursday","06:30","ConeDeckFaculty/Staff",1
"2021-09-23","Thursday","06:30","ConeDeckVisitor",4
"2021-09-23","Thursday","06:30","CRIDeck",4
"2021-09-23","Thursday","06:30","EastDeck1",6
"2021-09-23","Thursday","06:30","EastDeck2/3",1
"2021-09-23","Thursday","06:30","NorthDeck",31
"2021-09-23","Thursday","06:30","SouthVillageDeck",56
"2021-09-23","Thursday","06:30","UnionDeckLower",6
"2021-09-23","Thursday","06:30","UnionDeckUpper",0
"2021-09-23","Thursday","06:30","WestDeck",3
"2021-09-23","Thursday","07:00","ConeDeckFaculty/Staff",3
"2021-09-23","Thursday","07:00","ConeDeckVisitor",4
"2021-09-23","Thursday","07:00","CRIDeck",5
"2021-09-23","Thursday","07:00","EastDeck1",7
"2021-09-23","Thursday","07:00","EastDeck2/3",2
"2021-09-23","Thursday","07:00","NorthDeck",32
"2021-09-23","Thursday","07:00","SouthVillageDeck",56
"2021-09-23","Thursday","07:00","UnionDeckLower",7
"2021-09-23","Thursday","07:00","UnionDeckUpper",0
"2021-09-23","Thursday","07:00","WestDeck",5
"2021-09-23","Thursday","07:30","ConeDeckFaculty/Staff",10
"2021-09-23","Thursday","07:30","ConeDeckVisitor",4
"2021-09-23","Thursday","07:30","CRIDeck",5
"2021-09-23","Thursday","07:30","EastDeck1",9
"2021-09-23","Thursday","07:30","EastDeck2/3",3
"2021-09-23","Thursday","07:30","NorthDeck",34
"2021-09-23","Thursday","07:30","SouthVillageDeck",57
"2021-09-23","Thursday","07:30","UnionDeckLower",10
"2021-09-23","Thursday","07:30","UnionDeckUpper",0
"2021-09-23","Thursday","07:30","WestDeck",8
"2021-09-23","Thursday","08:00","ConeDeckFaculty/Staff",21
"2021-09-23","Thursday","08:00","ConeDeckVisitor",5
"2021-09-23","Thursday","08:00","CRIDeck",6
"2021-09-23","Thursday","08:00","EastDeck1",12
"2021-09-23","Thursday","08:00","EastDeck2/3",7
"2021-09-23","Thursday","08:00","NorthDeck",35
"2021-09-23","Thursday","08:00","SouthVillageDeck",59
"2021-09-23","Thursday","08:00","UnionDeckLower",14
"2021-09-23","Thursday","08:00","UnionDeckUpper",0
"2021-09-23","Thursday","08:00","WestDeck",13
"2021-09-23","Thursday","08:30","ConeDeckFaculty/Staff",33
"2021-09-23","Thursday","08:30","ConeDeckVisitor",6
"2021-09-23","Thursday","08:30","CRIDeck",10
"2021-09-23","Thursday","08:30","EastDeck1",16
"2021-09-23","Thursday","08:30","EastDeck2/3",9
"2021-09-23","Thursday","08:30","NorthDeck",36
"2021-09-23","Thursday","08:30","SouthVillageDeck",60
"2021-09-23","Thursday","08:30","UnionDeckLower",17
"2021-09-23","Thursday","08:30","UnionDeckUpper",1
"2021-09-23","Thursday","08:30","WestDeck",18
"2021-09-23","Thursday","09:00","ConeDeckFaculty/Staff",43
"2021-09-23","Thursday","09:00","ConeDeckVisitor",8
"2021-09-23","Thursday","09:00","CRIDeck",15
"2021-09-23","Thursday","09:00","EastDeck1",19
"2021-09-23","Thursday","09:00","EastDeck2/3",10
"2021-09-23","Thursday","09:00","NorthDeck",37
"2021-09-23","Thursday","09:00","SouthVillageDeck",60
"2021-09-23","Thursday","09:00","UnionDeckLower",20
"2021-09-23","Thursday","09:00","UnionDeckUpper",7
"2021-09-23","Thursday","09:00","WestDeck",22
"2021-09-23","Thursday","09:30","ConeDeckFaculty/Staff",45
"2021-09-23","Thursday","09:30","ConeDeckVisitor",9
"2021-09-23","Thursday","09:30","CRIDeck",18
"2021-09-23","Thursday","09:30","EastDeck1",22
"2021-09-23","Thursday","09:30","EastDeck2/3",11
"2021-09-23","Thursday","09:30","NorthDeck",37
"2021-09-23","Thursday","09:30","SouthVillageDeck",60
"2021-09-23","Thursday","09:30","UnionDeckLower",21
"2021-09-23","Thursday","09:30","UnionDeckUpper",8
"2021-09-23","Thursday","09:30","WestDeck",24
"2021-09-23","Thursday","10:00","ConeDeckFaculty/Staff",49
"2021-09-23","Thursday","10:00","ConeDeckVisitor",10
"2021-09-23","Thursday","10:00","CRIDeck",19
"2021-09-23","Thursday","10:00","EastDeck1",25
"2021-09-23","Thursday","10:00","EastDeck2/3",13
"2021-09-23","Thursday","10:00","NorthDeck",37
"2021-09-23","Thursday","10:00","SouthVillageDeck",60
"2021-09-23","Thursday","10:00","UnionDeckLower",22
"2021-09-23","Thursday","10:00","UnionDeckUpper",12
"2021-09-23","Thursday","10:00","WestDeck",26
"2021-09-23","Thursday","10:30","ConeDeckFaculty/Staff",51
"2021-09-23","Thursday","10:30","ConeDeckVisitor",10
"2021-09-23","Thursday","10:30","CRIDeck",20
"2021-09-23","Thursday","10:30","EastDeck1",25
"2021-09-23","Thursday","10:30","EastDeck2/3",14
"2021-09-23","Thursday","10:30","NorthDeck",37
